iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,ParetoFamily,Pareto_f1,Pareto_f2
1,504.0,794.0,652.0,220.0,185.0,125.0,753.0,446.0,113.0,682.0,751.0,596.0,316.0,0.0,55.0,6137.0
1,622.0,368.0,485.0,518.0,389.0,569.0,163.0,534.0,566.0,137.0,253.0,116.0,512.0,0.0,61.0,5232.0
1,332.0,238.0,704.0,244.0,626.0,377.0,268.0,388.0,415.0,310.0,538.0,284.0,246.0,0.0,65.0,4970.0
1,550.0,342.0,579.0,371.0,282.0,139.0,320.0,184.0,540.0,572.0,202.0,454.0,396.0,0.0,68.0,4931.0
1,647.0,276.0,242.0,600.0,215.0,360.0,656.0,280.0,460.0,280.0,526.0,137.0,159.0,0.0,69.0,4838.0
1,733.0,110.0,171.0,134.0,455.0,465.0,687.0,483.0,158.0,246.0,125.0,420.0,188.0,0.0,70.0,4375.0
1,279.0,220.0,208.0,152.0,356.0,248.0,177.0,570.0,191.0,185.0,491.0,494.0,108.0,0.0,76.0,3679.0
2,504.0,794.0,652.0,220.0,185.0,125.0,753.0,446.0,113.0,682.0,751.0,596.0,316.0,0.0,55.0,6137.0
2,279.0,220.0,200.0,152.0,356.0,248.0,177.0,570.0,191.0,185.0,491.0,494.0,108.0,0.0,61.0,3671.0
3,504.0,794.0,652.0,220.0,185.0,125.0,753.0,446.0,113.0,682.0,751.0,596.0,316.0,0.0,55.0,6137.0
3,622.0,383.0,485.0,518.0,389.0,465.0,687.0,483.0,128.0,158.0,422.0,245.0,669.0,0.0,58.0,5654.0
3,279.0,220.0,200.0,152.0,356.0,248.0,177.0,570.0,191.0,185.0,491.0,494.0,108.0,0.0,61.0,3671.0
4,339.0,220.0,200.0,152.0,356.0,248.0,177.0,570.0,191.0,185.0,202.0,454.0,396.0,0.0,52.0,3690.0
4,279.0,220.0,200.0,152.0,356.0,248.0,177.0,570.0,191.0,185.0,491.0,494.0,108.0,0.0,61.0,3671.0
5,339.0,220.0,200.0,152.0,356.0,248.0,177.0,570.0,191.0,185.0,202.0,454.0,396.0,0.0,52.0,3690.0
5,279.0,220.0,200.0,152.0,356.0,248.0,177.0,570.0,191.0,185.0,491.0,494.0,108.0,0.0,61.0,3671.0
