iterID,x1,x2,x3,x4,ParetoFamily,Pareto_f1,Pareto_f2
1,21.0,23.0,22.0,25.0,0,409.9999999999927,91.00000000000682
1,35.0,33.0,10.0,15.0,0,399.99999999999363,93.00000000000637
1,14.0,44.0,14.0,39.0,0,346.9999999999957,111.00000000000546
1,29.0,49.0,29.0,21.0,0,324.9999999999959,128.000000000005
1,64.0,37.0,15.0,18.0,0,323.99999999999545,134.00000000000364
1,53.0,13.0,40.0,30.0,0,317.99999999999613,136.00000000000273
1,28.0,45.0,12.0,44.0,0,290.9999999999957,129.00000000000318
1,40.0,40.0,19.0,37.0,0,291.99999999999636,136.00000000000364
1,46.0,26.0,27.0,39.0,0,289.9999999999968,138.00000000000364
1,54.0,41.0,41.0,11.0,0,289.9999999999959,147.00000000000273
1,41.0,21.0,43.0,39.0,0,281.99999999999727,144.00000000000364
1,15.0,42.0,37.0,52.0,0,272.9999999999959,146.00000000000318
1,21.0,15.0,49.0,63.0,0,265.9999999999959,148.00000000000318
1,45.0,35.0,26.0,45.0,0,259.99999999999704,151.00000000000227
1,59.0,72.0,26.0,15.0,0,281.99999999999636,172.0000000000009
1,26.0,43.0,46.0,42.0,0,255.9999999999966,157.00000000000227
1,59.0,31.0,36.0,37.0,0,251.99999999999727,163.0000000000009
1,12.0,56.0,33.0,60.0,0,238.99999999999773,161.00000000000227
1,24.0,47.0,24.0,66.0,0,234.99999999999727,161.00000000000182
1,55.0,44.0,55.0,21.0,0,246.99999999999773,175.00000000000227
1,12.0,77.0,11.0,73.0,0,234.99999999999727,173.00000000000136
1,44.0,14.0,35.0,74.0,0,216.99999999999727,167.00000000000136
1,61.0,43.0,12.0,58.0,0,217.99999999999727,174.00000000000182
1,25.0,38.0,47.0,65.0,0,217.99999999999682,175.0000000000009
1,43.0,19.0,30.0,78.0,0,202.99999999999773,170.00000000000136
1,72.0,22.0,44.0,53.0,0,216.99999999999773,190.99999999999955
1,51.0,39.0,18.0,69.0,0,196.9999999999991,177.00000000000136
1,38.0,38.0,41.0,68.0,0,199.9999999999991,185.0
1,36.0,66.0,17.0,71.0,0,190.99999999999818,190.0
1,28.0,78.0,23.0,70.0,0,197.99999999999818,198.9999999999991
1,18.0,76.0,75.0,54.0,0,213.99999999999818,222.99999999999818
1,68.0,30.0,55.0,54.0,0,190.99999999999818,206.99999999999864
1,49.0,27.0,56.0,69.0,0,176.9999999999991,200.99999999999955
1,51.0,40.0,32.0,75.0,0,166.0,198.0
1,42.0,72.0,58.0,48.0,0,180.9999999999991,219.99999999999818
1,70.0,17.0,69.0,66.0,0,174.9999999999991,221.99999999999773
1,34.0,62.0,77.0,56.0,0,173.99999999999773,228.99999999999727
1,48.0,66.0,38.0,64.0,0,161.99999999999864,215.99999999999955
1,44.0,50.0,73.0,59.0,0,163.99999999999818,225.99999999999727
1,63.0,59.0,79.0,43.0,0,162.0000000000009,243.99999999999636
1,63.0,25.0,68.0,76.0,0,151.0,231.99999999999727
1,71.0,31.0,67.0,75.0,0,137.00000000000045,243.99999999999636
1,47.0,52.0,74.0,79.0,0,133.99999999999955,251.9999999999959
