iterID,x1,x2,x3,x4,ParetoFamily,Pareto_f1,Pareto_f2
1,80,80,80,80,0.0,61.86502962257694,168.6332406804591
1,80,10,80,80,0.0,95.63790498984895,160.7688744750585
1,10,10,80,80,0.0,121.01998984144453,97.09982706142074
1,10,10,10,80,0.0,142.92327959444233,70.7824557740069
1,10,10,80,10,0.0,217.17405175353895,69.11756353311738
1,10,10,10,52,0.0,236.9606835659446,68.74419925389634
1,10,10,10,51,0.0,240.56238504092377,68.26336907986979
1,10,10,10,50,0.0,244.15147742796762,67.7679198111397
1,10,10,10,49,0.0,247.72204398009768,67.25908227800619
1,10,10,10,48,0.0,251.26776679802043,66.73803161691916
1,10,10,10,47,0.0,254.7819421078602,66.20588434695382
1,10,10,10,46,0.0,258.25749870495366,65.66369602379362
1,10,10,10,45,0.0,261.68701937749637,65.11245942393302
1,10,10,10,44,0.0,265.0627651079535,64.55310320648097
1,10,10,10,43,0.0,268.37670184532834,63.98649099649933
1,10,10,10,42,0.0,271.6205296480515,63.41342083247865
1,10,10,10,41,0.0,274.7857140151202,62.834624921522874
1,10,10,10,40,0.0,277.86351925112683,62.25076964924319
1,10,10,10,39,0.0,280.8450437472708,61.66245579733527
1,10,10,10,38,0.0,283.7212571028184,61.07021893034628
1,10,10,10,37,0.0,286.4830390566975,60.47452992414963
1,10,10,10,36,0.0,289.1212202433054,59.87579562190268
1,10,10,10,10,0.0,290.23340017178214,43.35385980246177
