iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,169.0,77.0,162.0,129.0,57.0,160.0,101.0,15.0,32.0,179.0,105.0,45.0,100.0,6020.0,1331.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,114.0,67.0,30.0,145.0,41.0,105.0,113.0,103.0,38.0,133.0,174.0,76.0,108.0,6239.0,1247.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,49.0,137.0,164.0,140.0,153.0,63.0,42.0,75.0,81.0,122.0,66.0,128.0,178.0,5956.0,1398.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,61.0,102.0,132.0,53.0,105.0,31.0,105.0,139.0,72.0,34.0,116.0,93.0,160.0,6920.0,1203.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,19.0,110.0,68.0,95.0,45.0,61.0,44.0,48.0,100.0,165.0,152.0,154.0,21.0,7263.0,1082.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,122.0,107.0,104.0,62.0,120.0,162.0,102.0,67.0,161.0,41.0,49.0,126.0,19.0,6392.0,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,30.0,62.0,70.0,102.0,89.0,149.0,133.0,146.0,113.0,148.0,13.0,158.0,156.0,5730.0,1369.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,138.0,165.0,106.0,129.0,11.0,21.0,177.0,171.0,17.0,73.0,172.0,108.0,16.0,6418.0,1304.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,43.0,85.0,35.0,48.0,19.0,95.0,73.0,109.0,125.0,28.0,46.0,101.0,13.0,8525.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,100.0,132.0,74.0,39.0,137.0,53.0,62.0,44.0,28.0,17.0,146.0,95.0,86.0,7794.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,85.0,173.0,165.0,79.0,28.0,114.0,49.0,178.0,48.0,154.0,167.0,110.0,24.0,6118.0,1374.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,90.0,133.0,151.0,57.0,81.0,108.0,125.0,70.0,143.0,16.0,39.0,165.0,127.0,6232.0,1305.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,93.0,143.0,143.0,76.0,96.0,36.0,157.0,29.0,120.0,99.0,94.0,82.0,38.0,6796.0,1206.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,73.0,160.0,25.0,106.0,15.0,106.0,174.0,139.0,78.0,33.0,62.0,28.0,63.0,7609.0,1062.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,41.0,54.0,11.0,150.0,142.0,172.0,110.0,120.0,109.0,148.0,105.0,87.0,174.0,5421.0,1423.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,6116.0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,163.0,30.0,139.0,141.0,78.0,20.0,115.0,52.0,78.0,118.0,148.0,172.0,154.0,5760.0,1408.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,131.0,57.0,83.0,177.0,126.0,33.0,149.0,129.0,172.0,127.0,36.0,163.0,140.0,5300.0,1523.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,55.0,174.0,172.0,21.0,109.0,44.0,146.0,21.0,158.0,157.0,70.0,32.0,127.0,6966.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,79.0,160.0,93.0,143.0,102.0,45.0,75.0,178.0,13.0,50.0,153.0,37.0,17.0,7374.0,1145.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,70.0,22.0,160.0,50.0,111.0,153.0,56.0,121.0,131.0,81.0,19.0,133.0,98.0,6546.0,1205.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,178.0,16.0,60.0,132.0,146.0,64.0,98.0,158.0,54.0,51.0,38.0,63.0,89.0,7239.0,1147.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,97.0,92.0,26.0,46.0,121.0,48.0,37.0,154.0,97.0,59.0,63.0,29.0,147.0,8444.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,18.0,71.0,99.0,127.0,135.0,168.0,22.0,23.0,153.0,87.0,155.0,98.0,76.0,6227.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,96.0,73.0,109.0,35.0,24.0,47.0,28.0,89.0,92.0,25.0,58.0,14.0,117.0,9525.0,807.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,133.0,46.0,112.0,32.0,75.0,15.0,91.0,92.0,170.0,61.0,161.0,170.0,132.0,6866.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,122.0,36.0,23.0,27.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,7837.0,933.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,152.0,122.0,113.0,113.0,125.0,86.0,49.0,69.0,106.0,70.0,60.0,175.0,91.0,6072.0,1331.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
0,168.0,128.0,63.0,75.0,131.0,92.0,82.0,117.0,61.0,112.0,88.0,137.0,92.0,6066.0,1346.0,0.0,0.0,0.0,0.0,0.0,0.0,2227935.0
