iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,f1,f2,Hypervolume_indicator
0,106.0,10.0,38.0,134.0,127.0,24.0,158.0,178.0,14.0,127.0,34.0,48.0,149.0,0.3207805546045875,0.4601809954751131,0.09357337489020837
0,80.0,73.0,178.0,50.0,35.0,157.0,118.0,76.0,99.0,66.0,158.0,170.0,27.0,0.14900718931872647,0.5235294117647059,0.09357337489020837
0,120.0,143.0,27.0,45.0,107.0,102.0,124.0,157.0,124.0,80.0,23.0,37.0,10.0,0.2887709688462855,0.43846153846153846,0.09357337489020837
0,18.0,68.0,22.0,85.0,175.0,66.0,138.0,151.0,140.0,157.0,66.0,160.0,52.0,0.1999315302978432,0.5285067873303168,0.09357337489020837
0,172.0,70.0,25.0,11.0,85.0,60.0,95.0,91.0,126.0,41.0,109.0,40.0,169.0,0.36648408079424855,0.43619909502262444,0.09357337489020837
0,138.0,87.0,120.0,170.0,15.0,127.0,69.0,109.0,57.0,58.0,165.0,28.0,170.0,0.171516603902773,0.5352941176470588,0.09357337489020837
0,100.0,28.0,84.0,105.0,33.0,143.0,28.0,105.0,172.0,73.0,85.0,116.0,141.0,0.19907565902088326,0.49004524886877826,0.09357337489020837
0,91.0,167.0,12.0,113.0,170.0,32.0,36.0,18.0,102.0,56.0,34.0,59.0,85.0,0.3467134542964738,0.38235294117647056,0.09357337489020837
0,51.0,64.0,18.0,73.0,148.0,22.0,153.0,34.0,19.0,30.0,86.0,129.0,163.0,0.3108524477918521,0.3891402714932127,0.09357337489020837
0,168.0,39.0,16.0,160.0,54.0,138.0,112.0,138.0,86.0,142.0,179.0,106.0,164.0,0.12675453611776788,0.6208144796380091,0.09357337489020837
0,48.0,105.0,154.0,51.0,169.0,136.0,72.0,71.0,121.0,18.0,132.0,132.0,130.0,0.1673228346456693,0.5470588235294118,0.09357337489020837
0,155.0,173.0,53.0,30.0,68.0,85.0,179.0,153.0,44.0,175.0,39.0,22.0,47.0,0.3140191715166039,0.49457013574660635,0.09357337489020837
0,110.0,77.0,117.0,174.0,157.0,74.0,153.0,57.0,80.0,144.0,14.0,124.0,111.0,0.12949332420403972,0.5710407239819004,0.09357337489020837
0,83.0,52.0,32.0,118.0,99.0,63.0,132.0,86.0,132.0,119.0,12.0,86.0,25.0,0.24614857925368025,0.4113122171945701,0.09357337489020837
0,113.0,50.0,86.0,122.0,89.0,96.0,47.0,81.0,89.0,133.0,142.0,144.0,79.0,0.15807942485450188,0.516289592760181,0.09357337489020837
0,142.0,88.0,130.0,16.0,43.0,56.0,166.0,171.0,134.0,86.0,46.0,96.0,119.0,0.27704553235193424,0.5262443438914027,0.09357337489020837
0,23.0,45.0,147.0,138.0,73.0,172.0,22.0,173.0,112.0,32.0,78.0,19.0,58.0,0.21490927764464224,0.43529411764705883,0.09357337489020837
0,75.0,130.0,171.0,35.0,153.0,154.0,32.0,122.0,11.0,103.0,136.0,14.0,152.0,0.23476549127011298,0.5239819004524887,0.09357337489020837
0,166.0,128.0,145.0,75.0,63.0,146.0,101.0,140.0,28.0,62.0,152.0,69.0,105.0,0.16330023964395754,0.5656108597285068,0.09357337489020837
