iterID,x1,x2,Pareto_f1,Pareto_f2
0,163.0,161.0,0.0,0.8941176470588236
0,159.0,156.0,0.0021551724137931034,0.8676470588235294
0,154.0,139.0,0.022629310344827586,0.8029411764705883
0,141.0,136.0,0.03017241379310345,0.7558823529411764
0,127.0,144.0,0.03987068965517242,0.7382352941176471
0,137.0,134.0,0.03987068965517242,0.7382352941176471
0,116.0,137.0,0.07219827586206896,0.6852941176470588
0,131.0,106.0,0.11853448275862069,0.638235294117647
0,113.0,111.0,0.14331896551724138,0.6
0,117.0,101.0,0.1627155172413793,0.5823529411764706
0,122.0,81.0,0.21875,0.538235294117647
0,102.0,92.0,0.24892241379310345,0.5117647058823529
0,88.0,103.0,0.2521551724137931,0.5029411764705882
0,108.0,77.0,0.26939655172413796,0.4852941176470588
0,93.0,86.0,0.2941810344827586,0.4676470588235294
0,110.0,60.0,0.3394396551724138,0.4411764705882353
0,36.0,132.0,0.41379310344827586,0.43529411764705883
0,44.0,121.0,0.4170258620689655,0.4264705882352941
0,32.0,127.0,0.4375,0.4088235294117647
0,65.0,82.0,0.44935344827586204,0.3735294117647059
0,115.0,31.0,0.46551724137931033,0.37058823529411766
0,80.0,61.0,0.4838362068965517,0.3558823529411765
0,64.0,75.0,0.48814655172413796,0.35
0,38.0,98.0,0.509698275862069,0.3411764705882353
0,104.0,28.0,0.5204741379310345,0.32941176470588235
0,106.0,17.0,0.5571120689655172,0.3029411764705882
0,61.0,58.0,0.5592672413793104,0.2911764705882353
0,21.0,95.0,0.59375,0.2823529411764706
0,79.0,34.0,0.6045258620689655,0.2735294117647059
0,90.0,13.0,0.6293103448275862,0.24411764705882352
0,84.0,17.0,0.6390086206896551,0.23823529411764705
0,75.0,25.0,0.6551724137931034,0.23529411764705882
0,73.0,22.0,0.6745689655172413,0.22058823529411764
0,42.0,49.0,0.7068965517241379,0.2088235294117647
0,13.0,65.0,0.7478448275862069,0.17058823529411765
0,11.0,66.0,0.7564655172413793,0.1676470588235294
0,27.0,49.0,0.7618534482758621,0.16470588235294117
0,18.0,43.0,0.8318965517241379,0.12058823529411765
0,29.0,19.0,0.8642241379310345,0.08235294117647059
0,14.0,14.0,0.9633620689655172,0.023529411764705882
1,163.0,161.0,0.0,0.8941176470588236
1,159.0,156.0,0.0021551724137931034,0.8676470588235294
1,154.0,139.0,0.022629310344827586,0.8029411764705883
1,141.0,136.0,0.03017241379310345,0.7558823529411764
1,127.0,144.0,0.03987068965517242,0.7382352941176471
1,137.0,134.0,0.03987068965517242,0.7382352941176471
1,116.0,137.0,0.07219827586206896,0.6852941176470588
1,119.0,119.0,0.11637931034482758,0.6411764705882353
1,131.0,106.0,0.11853448275862069,0.638235294117647
1,113.0,111.0,0.14331896551724138,0.6
1,117.0,101.0,0.1627155172413793,0.5823529411764706
1,122.0,81.0,0.21875,0.538235294117647
1,102.0,92.0,0.24892241379310345,0.5117647058823529
1,88.0,103.0,0.2521551724137931,0.5029411764705882
1,108.0,77.0,0.26939655172413796,0.4852941176470588
1,93.0,86.0,0.2941810344827586,0.4676470588235294
1,110.0,60.0,0.3394396551724138,0.4411764705882353
1,36.0,132.0,0.41379310344827586,0.43529411764705883
1,44.0,121.0,0.4170258620689655,0.4264705882352941
1,32.0,127.0,0.4375,0.4088235294117647
1,65.0,82.0,0.44935344827586204,0.3735294117647059
1,115.0,31.0,0.46551724137931033,0.37058823529411766
1,80.0,61.0,0.4838362068965517,0.3558823529411765
1,64.0,75.0,0.48814655172413796,0.35
1,38.0,98.0,0.509698275862069,0.3411764705882353
1,104.0,28.0,0.5204741379310345,0.32941176470588235
1,106.0,17.0,0.5571120689655172,0.3029411764705882
1,61.0,58.0,0.5592672413793104,0.2911764705882353
1,21.0,95.0,0.59375,0.2823529411764706
1,79.0,34.0,0.6045258620689655,0.2735294117647059
1,90.0,13.0,0.6293103448275862,0.24411764705882352
1,84.0,17.0,0.6390086206896551,0.23823529411764705
1,75.0,25.0,0.6551724137931034,0.23529411764705882
1,73.0,22.0,0.6745689655172413,0.22058823529411764
1,42.0,49.0,0.7068965517241379,0.2088235294117647
1,13.0,65.0,0.7478448275862069,0.17058823529411765
1,11.0,66.0,0.7564655172413793,0.1676470588235294
1,27.0,49.0,0.7618534482758621,0.16470588235294117
1,18.0,43.0,0.8318965517241379,0.12058823529411765
1,29.0,19.0,0.8642241379310345,0.08235294117647059
1,14.0,14.0,0.9633620689655172,0.023529411764705882
2,163.0,161.0,0.0,0.8941176470588236
2,159.0,156.0,0.0021551724137931034,0.8676470588235294
2,154.0,139.0,0.022629310344827586,0.8029411764705883
2,141.0,136.0,0.03017241379310345,0.7558823529411764
2,127.0,144.0,0.03987068965517242,0.7382352941176471
2,137.0,134.0,0.03987068965517242,0.7382352941176471
2,116.0,137.0,0.07219827586206896,0.6852941176470588
2,119.0,119.0,0.11637931034482758,0.6411764705882353
2,131.0,106.0,0.11853448275862069,0.638235294117647
2,113.0,111.0,0.14331896551724138,0.6
2,117.0,101.0,0.1627155172413793,0.5823529411764706
2,122.0,81.0,0.21875,0.538235294117647
2,102.0,92.0,0.24892241379310345,0.5117647058823529
2,88.0,103.0,0.2521551724137931,0.5029411764705882
2,108.0,77.0,0.26939655172413796,0.4852941176470588
2,93.0,86.0,0.2941810344827586,0.4676470588235294
2,110.0,60.0,0.3394396551724138,0.4411764705882353
2,36.0,132.0,0.41379310344827586,0.43529411764705883
2,44.0,121.0,0.4170258620689655,0.4264705882352941
2,32.0,127.0,0.4375,0.4088235294117647
