iterID,x1,x2,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,155.0,90.0,0.16056034482758622,0.6617647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,120.0,83.0,0.21982758620689655,0.538235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,39.0,149.0,0.3728448275862069,0.49411764705882355,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,75.0,25.0,0.6551724137931034,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,139.0,68.0,0.2661637931034483,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,82.0,22.0,0.6303879310344828,0.24705882352941178,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,47.0,53.0,0.6756465517241379,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,171.0,165.0,0.0,0.9294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,16.0,89.0,0.6368534482758621,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,38.0,98.0,0.509698275862069,0.3411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,88.0,103.0,0.2521551724137931,0.5029411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,168.0,51.0,0.33836206896551724,0.5852941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,177.0,142.0,0.017241379310344827,0.8794117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,154.0,139.0,0.022629310344827586,0.8029411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,137.0,134.0,0.03987068965517242,0.7382352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,162.0,108.0,0.09159482758620689,0.7352941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,31.0,119.0,0.4676724137931034,0.38235294117647056,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,106.0,17.0,0.5571120689655172,0.3029411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,96.0,152.0,0.1206896551724138,0.6705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,104.0,28.0,0.5204741379310345,0.32941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,99.0,177.0,0.11206896551724138,0.7529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,144.0,37.0,0.39870689655172414,0.47352941176470587,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
0,56.0,123.0,0.3793103448275862,0.4676470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.5284260902636917
