iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,Pareto_f1,Pareto_f2
0,80.0,178.0,127.0,47.0,133.0,146.0,166.0,151.0,155.0,136.0,30.0,115.0,43.0,0.1785682604453118,0.6230769230769231
0,83.0,178.0,107.0,134.0,41.0,169.0,56.0,91.0,74.0,125.0,138.0,165.0,110.0,0.1838020047902067,0.606787330316742
0,64.0,112.0,87.0,109.0,168.0,88.0,126.0,173.0,140.0,155.0,91.0,67.0,70.0,0.19551139891776811,0.5972850678733032
0,41.0,54.0,11.0,150.0,142.0,172.0,110.0,120.0,109.0,148.0,105.0,87.0,174.0,0.19923711523108312,0.5850678733031675
0,11.0,142.0,67.0,172.0,149.0,122.0,140.0,28.0,111.0,11.0,130.0,151.0,112.0,0.20331766166947574,0.5502262443438914
0,109.0,48.0,72.0,120.0,90.0,109.0,168.0,41.0,151.0,163.0,137.0,85.0,32.0,0.2065998403264437,0.5407239819004525
0,132.0,55.0,153.0,55.0,32.0,117.0,89.0,168.0,58.0,20.0,179.0,176.0,69.0,0.23888938170850704,0.5307692307692308
0,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.24101836245897276,0.49411764705882355
0,106.0,80.0,136.0,85.0,85.0,130.0,143.0,12.0,15.0,94.0,119.0,123.0,49.0,0.2560099352435022,0.47375565610859727
0,89.0,39.0,95.0,121.0,32.0,164.0,18.0,86.0,26.0,144.0,97.0,130.0,79.0,0.2675419143085248,0.4479638009049774
0,32.0,146.0,31.0,154.0,117.0,16.0,130.0,126.0,36.0,162.0,21.0,105.0,28.0,0.2937106360329992,0.4407239819004525
0,19.0,110.0,68.0,95.0,45.0,61.0,44.0,48.0,100.0,165.0,152.0,154.0,21.0,0.33558059079215824,0.4307692307692308
0,51.0,116.0,32.0,174.0,66.0,52.0,127.0,88.0,42.0,12.0,32.0,118.0,113.0,0.3478222301073361,0.40407239819004526
0,14.0,27.0,155.0,43.0,92.0,98.0,59.0,97.0,166.0,76.0,111.0,46.0,36.0,0.36467666104852303,0.40271493212669685
0,122.0,36.0,23.0,27.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.3678701321742216,0.36334841628959275
0,38.0,104.0,166.0,158.0,74.0,27.0,32.0,36.0,63.0,29.0,89.0,70.0,11.0,0.3923534108045773,0.34705882352941175
0,24.0,118.0,80.0,51.0,107.0,30.0,92.0,32.0,20.0,47.0,74.0,141.0,25.0,0.4076111061829149,0.3217194570135747
0,43.0,85.0,35.0,48.0,19.0,95.0,73.0,109.0,125.0,28.0,46.0,101.0,13.0,0.4307637718442296,0.31221719457013575
0,16.0,20.0,27.0,58.0,60.0,99.0,26.0,20.0,119.0,109.0,29.0,72.0,93.0,0.502084626984831,0.27963800904977376
1,80.0,178.0,127.0,47.0,133.0,146.0,166.0,151.0,155.0,136.0,30.0,115.0,43.0,0.1785682604453118,0.6230769230769231
1,83.0,178.0,107.0,134.0,41.0,169.0,56.0,91.0,74.0,125.0,138.0,165.0,110.0,0.1838020047902067,0.606787330316742
1,83.0,178.0,107.0,134.0,41.0,169.0,56.0,91.0,74.0,125.0,138.0,165.0,110.0,0.1838020047902067,0.606787330316742
1,64.0,112.0,87.0,109.0,168.0,88.0,126.0,173.0,140.0,155.0,91.0,67.0,70.0,0.19551139891776811,0.5972850678733032
1,64.0,112.0,87.0,109.0,168.0,88.0,126.0,173.0,140.0,155.0,91.0,67.0,70.0,0.19551139891776811,0.5972850678733032
1,41.0,54.0,11.0,150.0,142.0,172.0,110.0,120.0,109.0,148.0,105.0,87.0,174.0,0.19923711523108312,0.5850678733031675
1,41.0,54.0,11.0,150.0,142.0,172.0,110.0,120.0,109.0,148.0,105.0,87.0,174.0,0.19923711523108312,0.5850678733031675
1,11.0,142.0,67.0,172.0,149.0,122.0,140.0,28.0,111.0,11.0,130.0,151.0,112.0,0.20331766166947574,0.5502262443438914
1,11.0,142.0,67.0,172.0,149.0,122.0,140.0,28.0,111.0,11.0,130.0,151.0,112.0,0.20331766166947574,0.5502262443438914
1,109.0,48.0,72.0,120.0,90.0,109.0,168.0,41.0,151.0,163.0,137.0,85.0,32.0,0.2065998403264437,0.5407239819004525
1,109.0,48.0,72.0,120.0,90.0,109.0,168.0,41.0,151.0,163.0,137.0,85.0,32.0,0.2065998403264437,0.5407239819004525
1,132.0,55.0,153.0,55.0,32.0,117.0,89.0,168.0,58.0,20.0,179.0,176.0,69.0,0.23888938170850704,0.5307692307692308
1,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.24101836245897276,0.49411764705882355
1,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.24101836245897276,0.49411764705882355
1,106.0,80.0,136.0,85.0,85.0,130.0,143.0,12.0,15.0,94.0,119.0,123.0,49.0,0.2560099352435022,0.47375565610859727
1,89.0,39.0,95.0,121.0,32.0,164.0,18.0,86.0,26.0,144.0,97.0,130.0,79.0,0.2675419143085248,0.4479638009049774
1,32.0,146.0,31.0,154.0,117.0,16.0,130.0,126.0,36.0,162.0,21.0,105.0,28.0,0.2937106360329992,0.4407239819004525
1,19.0,110.0,68.0,95.0,45.0,61.0,44.0,48.0,100.0,165.0,152.0,154.0,21.0,0.33558059079215824,0.4307692307692308
1,19.0,110.0,68.0,95.0,45.0,61.0,44.0,48.0,100.0,165.0,152.0,154.0,21.0,0.33558059079215824,0.4307692307692308
1,51.0,116.0,32.0,174.0,66.0,52.0,127.0,88.0,42.0,12.0,32.0,118.0,113.0,0.3478222301073361,0.40407239819004526
1,14.0,27.0,155.0,43.0,92.0,98.0,59.0,97.0,166.0,76.0,111.0,46.0,36.0,0.36467666104852303,0.40271493212669685
1,122.0,36.0,23.0,27.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.3678701321742216,0.36334841628959275
1,122.0,36.0,23.0,27.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.3678701321742216,0.36334841628959275
1,38.0,104.0,166.0,158.0,74.0,27.0,32.0,36.0,63.0,29.0,89.0,70.0,11.0,0.3923534108045773,0.34705882352941175
1,24.0,118.0,80.0,51.0,107.0,30.0,92.0,32.0,20.0,47.0,74.0,141.0,25.0,0.4076111061829149,0.3217194570135747
1,24.0,118.0,80.0,51.0,107.0,30.0,92.0,32.0,20.0,47.0,74.0,141.0,25.0,0.4076111061829149,0.3217194570135747
1,43.0,85.0,35.0,48.0,19.0,95.0,73.0,109.0,125.0,28.0,46.0,101.0,13.0,0.4307637718442296,0.31221719457013575
1,43.0,85.0,35.0,48.0,19.0,95.0,73.0,109.0,125.0,28.0,46.0,101.0,13.0,0.4307637718442296,0.31221719457013575
1,16.0,20.0,27.0,58.0,60.0,99.0,26.0,20.0,119.0,109.0,29.0,72.0,93.0,0.502084626984831,0.27963800904977376
2,83.0,178.0,107.0,134.0,41.0,169.0,56.0,91.0,100.0,165.0,152.0,156.0,21.0,0.16952009225583253,0.5986425339366516
2,64.0,112.0,87.0,109.0,168.0,88.0,126.0,173.0,140.0,155.0,91.0,67.0,70.0,0.19551139891776811,0.5972850678733032
2,64.0,112.0,87.0,109.0,168.0,88.0,126.0,173.0,140.0,155.0,91.0,67.0,70.0,0.19551139891776811,0.5972850678733032
2,41.0,54.0,11.0,150.0,142.0,172.0,110.0,120.0,109.0,148.0,105.0,87.0,174.0,0.19923711523108312,0.5850678733031675
2,41.0,54.0,11.0,150.0,142.0,172.0,110.0,120.0,109.0,148.0,105.0,87.0,174.0,0.19923711523108312,0.5850678733031675
2,11.0,142.0,67.0,172.0,149.0,122.0,140.0,28.0,111.0,11.0,130.0,151.0,112.0,0.20331766166947574,0.5502262443438914
2,11.0,142.0,67.0,172.0,149.0,122.0,140.0,28.0,111.0,11.0,130.0,151.0,112.0,0.20331766166947574,0.5502262443438914
2,109.0,48.0,72.0,120.0,90.0,109.0,168.0,41.0,151.0,163.0,137.0,85.0,32.0,0.2065998403264437,0.5407239819004525
2,109.0,48.0,72.0,120.0,90.0,109.0,168.0,41.0,151.0,163.0,137.0,85.0,32.0,0.2065998403264437,0.5407239819004525
2,83.0,178.0,107.0,134.0,41.0,169.0,56.0,91.0,74.0,32.0,128.0,168.0,26.0,0.2098820189834117,0.5235294117647059
2,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.24101836245897276,0.49411764705882355
2,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.24101836245897276,0.49411764705882355
2,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.24101836245897276,0.49411764705882355
2,106.0,80.0,136.0,85.0,85.0,130.0,143.0,12.0,15.0,94.0,119.0,123.0,49.0,0.2560099352435022,0.47375565610859727
2,89.0,39.0,95.0,121.0,32.0,164.0,18.0,86.0,26.0,144.0,97.0,130.0,79.0,0.2675419143085248,0.4479638009049774
2,109.0,48.0,72.0,120.0,90.0,109.0,168.0,39.0,125.0,28.0,46.0,101.0,13.0,0.2935332209704604,0.4244343891402715
2,35.0,90.0,55.0,73.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.3286614033531447,0.38371040723981903
2,122.0,36.0,23.0,27.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.3678701321742216,0.36334841628959275
2,122.0,36.0,23.0,27.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.3678701321742216,0.36334841628959275
2,122.0,36.0,23.0,27.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.3678701321742216,0.36334841628959275
2,19.0,110.0,68.0,95.0,19.0,95.0,73.0,109.0,125.0,28.0,46.0,101.0,13.0,0.3877406191785683,0.34886877828054297
2,38.0,104.0,166.0,158.0,74.0,27.0,32.0,36.0,63.0,29.0,89.0,70.0,11.0,0.3923534108045773,0.34705882352941175
2,24.0,118.0,80.0,51.0,107.0,30.0,92.0,32.0,20.0,47.0,74.0,141.0,25.0,0.4076111061829149,0.3217194570135747
2,24.0,118.0,80.0,51.0,107.0,30.0,92.0,32.0,20.0,47.0,74.0,141.0,25.0,0.4076111061829149,0.3217194570135747
2,24.0,118.0,80.0,51.0,107.0,30.0,92.0,32.0,20.0,47.0,74.0,141.0,25.0,0.4076111061829149,0.3217194570135747
2,43.0,85.0,35.0,48.0,19.0,95.0,73.0,109.0,125.0,28.0,46.0,101.0,13.0,0.4307637718442296,0.31221719457013575
2,43.0,85.0,35.0,48.0,19.0,95.0,73.0,109.0,125.0,28.0,46.0,101.0,13.0,0.4307637718442296,0.31221719457013575
2,43.0,85.0,35.0,48.0,19.0,95.0,73.0,109.0,125.0,28.0,46.0,101.0,13.0,0.4307637718442296,0.31221719457013575
2,16.0,20.0,27.0,58.0,60.0,99.0,26.0,20.0,119.0,109.0,29.0,72.0,93.0,0.502084626984831,0.27963800904977376
3,83.0,178.0,107.0,134.0,41.0,169.0,56.0,91.0,100.0,165.0,152.0,156.0,21.0,0.16952009225583253,0.5986425339366516
3,83.0,178.0,107.0,134.0,41.0,169.0,56.0,91.0,100.0,165.0,152.0,156.0,21.0,0.16952009225583253,0.5986425339366516
3,83.0,178.0,107.0,134.0,41.0,169.0,56.0,124.0,130.0,32.0,128.0,168.0,26.0,0.1880599662911381,0.5638009049773756
3,11.0,142.0,67.0,172.0,149.0,122.0,140.0,28.0,111.0,11.0,130.0,151.0,112.0,0.20331766166947574,0.5502262443438914
3,11.0,142.0,67.0,172.0,149.0,122.0,140.0,28.0,111.0,11.0,130.0,151.0,112.0,0.20331766166947574,0.5502262443438914
3,109.0,48.0,72.0,120.0,90.0,109.0,168.0,41.0,151.0,163.0,137.0,85.0,32.0,0.2065998403264437,0.5407239819004525
3,109.0,48.0,72.0,120.0,90.0,109.0,168.0,41.0,151.0,163.0,137.0,85.0,32.0,0.2065998403264437,0.5407239819004525
3,83.0,178.0,107.0,134.0,41.0,169.0,56.0,91.0,74.0,32.0,128.0,168.0,26.0,0.2098820189834117,0.5235294117647059
3,83.0,178.0,107.0,134.0,41.0,169.0,56.0,91.0,74.0,32.0,128.0,168.0,26.0,0.2098820189834117,0.5235294117647059
3,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.24101836245897276,0.49411764705882355
3,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.24101836245897276,0.49411764705882355
3,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.24101836245897276,0.49411764705882355
3,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.24101836245897276,0.49411764705882355
3,106.0,80.0,136.0,85.0,85.0,130.0,143.0,12.0,15.0,94.0,119.0,123.0,49.0,0.2560099352435022,0.47375565610859727
3,89.0,39.0,95.0,121.0,32.0,164.0,18.0,86.0,26.0,144.0,97.0,130.0,79.0,0.2675419143085248,0.4479638009049774
3,109.0,48.0,72.0,120.0,90.0,109.0,168.0,39.0,125.0,28.0,46.0,101.0,13.0,0.2935332209704604,0.4244343891402715
3,109.0,48.0,72.0,120.0,90.0,109.0,168.0,39.0,125.0,28.0,46.0,101.0,13.0,0.2935332209704604,0.4244343891402715
3,35.0,90.0,55.0,73.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.3286614033531447,0.38371040723981903
3,35.0,90.0,55.0,73.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.3286614033531447,0.38371040723981903
3,35.0,90.0,52.0,73.0,120.0,125.0,47.0,115.0,125.0,28.0,46.0,101.0,13.0,0.3475561075135279,0.38009049773755654
3,122.0,36.0,23.0,27.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.3678701321742216,0.36334841628959275
3,122.0,36.0,23.0,27.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.3678701321742216,0.36334841628959275
3,122.0,36.0,23.0,27.0,123.0,125.0,47.0,114.0,49.0,54.0,117.0,81.0,15.0,0.3678701321742216,0.36334841628959275
3,19.0,110.0,68.0,95.0,19.0,95.0,73.0,109.0,125.0,28.0,46.0,101.0,13.0,0.3877406191785683,0.34886877828054297
