iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,169.0,77.0,162.0,129.0,57.0,160.0,101.0,15.0,32.0,179.0,105.0,45.0,100.0,0.2421811036515474,0.5434389140271493,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,114.0,67.0,30.0,145.0,41.0,105.0,113.0,103.0,38.0,133.0,174.0,76.0,108.0,0.25888324873096447,0.5054298642533936,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,49.0,137.0,164.0,140.0,153.0,63.0,42.0,75.0,81.0,122.0,66.0,128.0,178.0,0.23211069264778122,0.5737556561085972,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,61.0,102.0,132.0,53.0,105.0,31.0,105.0,139.0,72.0,34.0,116.0,93.0,160.0,0.3222531521205174,0.4855203619909502,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,19.0,110.0,68.0,95.0,45.0,61.0,44.0,48.0,100.0,165.0,152.0,154.0,21.0,0.34501391845423285,0.4307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,122.0,107.0,104.0,62.0,120.0,162.0,102.0,67.0,161.0,41.0,49.0,126.0,19.0,0.27525790076960865,0.5031674208144796,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,30.0,62.0,70.0,102.0,89.0,149.0,133.0,146.0,113.0,148.0,13.0,158.0,156.0,0.21426232192565908,0.5606334841628959,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,138.0,165.0,106.0,129.0,11.0,21.0,177.0,171.0,17.0,73.0,172.0,108.0,16.0,0.2825446209268053,0.5312217194570136,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,43.0,85.0,35.0,48.0,19.0,95.0,73.0,109.0,125.0,28.0,46.0,101.0,13.0,0.4490748321598166,0.31221719457013575,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,100.0,132.0,74.0,39.0,137.0,53.0,62.0,44.0,28.0,17.0,146.0,95.0,86.0,0.38210250532176193,0.3995475113122172,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,85.0,173.0,165.0,79.0,28.0,114.0,49.0,178.0,48.0,154.0,167.0,110.0,24.0,0.2528246274766661,0.56289592760181,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,90.0,133.0,151.0,57.0,81.0,108.0,125.0,70.0,143.0,16.0,39.0,165.0,127.0,0.2646962502046831,0.5316742081447964,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,93.0,143.0,143.0,76.0,96.0,36.0,157.0,29.0,120.0,99.0,94.0,82.0,38.0,0.31210086785655805,0.48687782805429863,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,73.0,160.0,25.0,106.0,15.0,106.0,174.0,139.0,78.0,33.0,62.0,28.0,63.0,0.37293270018012115,0.42171945701357466,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,41.0,54.0,11.0,150.0,142.0,172.0,110.0,120.0,109.0,148.0,105.0,87.0,174.0,0.18937285082691993,0.5850678733031675,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,35.0,93.0,55.0,73.0,155.0,166.0,37.0,124.0,130.0,32.0,128.0,168.0,26.0,0.2523333879155068,0.49411764705882355,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,163.0,30.0,139.0,141.0,78.0,20.0,115.0,52.0,78.0,118.0,148.0,172.0,154.0,0.21336171606353366,0.5782805429864254,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,131.0,57.0,83.0,177.0,126.0,33.0,149.0,129.0,172.0,127.0,36.0,163.0,140.0,0.1802849189454724,0.630316742081448,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,55.0,174.0,172.0,21.0,109.0,44.0,146.0,21.0,158.0,157.0,70.0,32.0,127.0,0.3232356312428361,0.5230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
0,79.0,160.0,93.0,143.0,102.0,45.0,75.0,178.0,13.0,50.0,153.0,37.0,17.0,0.3560668085803177,0.4592760180995475,0.0,0.0,0.0,0.0,0.0,0.0,0.08101955548376724
