iterID,x1,x2,x3,x4,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,14.0,44.0,14.0,39.0,356.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,41.0,21.0,43.0,39.0,305.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,23.0,61.0,34.0,13.0,339.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,18.0,76.0,75.0,54.0,190.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,49.0,27.0,56.0,69.0,200.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,52.0,57.0,71.0,49.0,128.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,56.0,74.0,21.0,72.0,160.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,66.0,69.0,66.0,26.0,203.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,13.0,51.0,60.0,31.0,290.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,17.0,30.0,65.0,27.0,329.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,12.0,56.0,33.0,60.0,247.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,49.0,34.0,48.0,45.0,224.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,53.0,13.0,40.0,30.0,324.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,48.0,66.0,38.0,64.0,192.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,62.0,23.0,79.0,48.0,230.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,30.0,57.0,35.0,22.0,320.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,80.0,32.0,16.0,28.0,325.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,31.0,63.0,58.0,50.0,203.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,51.0,39.0,18.0,69.0,213.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,51.0,40.0,32.0,75.0,160.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,32.0,33.0,72.0,34.0,297.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,40.0,55.0,59.0,55.0,194.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,55.0,44.0,55.0,21.0,249.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,63.0,25.0,68.0,76.0,130.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,69.0,65.0,14.0,70.0,163.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,20.0,61.0,32.0,33.0,291.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,26.0,43.0,46.0,42.0,266.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,21.0,15.0,49.0,63.0,270.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,66.0,28.0,50.0,12.0,336.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,17.0,16.0,39.0,20.0,399.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
0,39.0,70.0,25.0,58.0,225.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,34499.0
