iterID,x1,x2,x3,x4,ParetoFamily,Pareto_f1,Pareto_f2
1,80,80,80,80,0.0,66.441962650379,168.6332406804591
1,10,10,80,80,0.0,69.54285982972047,97.09982706142074
1,10,10,10,80,0.0,106.83031395216139,70.7824557740069
1,10,10,80,10,0.0,148.00210626989625,69.11756353311738
1,10,10,10,10,0.0,234.94081596341988,43.35385980246177
2,80,80,80,80,0.0,66.44196265037914,168.6332406804591
2,10,10,80,80,0.0,69.54285982972007,97.0998270614207
2,10,10,10,80,0.0,106.83031395216145,70.7824557740069
2,10,10,80,10,0.0,148.00210626989622,69.11756353311735
2,10,10,10,10,0.0,234.94081596341954,43.353859802461734
